customerid,country
17572,United Kingdom
15081,United Kingdom
17128,United Kingdom
16713,United Kingdom
17967,United Kingdom
16003,United Kingdom
16525,United Kingdom
14142,United Kingdom
13173,United Kingdom
15605,United Kingdom
15005,United Kingdom
17126,United Kingdom
17343,United Kingdom
16710,United Kingdom
17978,United Kingdom
16556,United Kingdom
16655,United Kingdom
17231,United Kingdom
16455,United Kingdom
13468,United Kingdom
12415,Australia
15626,United Kingdom
15789,United Kingdom
14533,United Kingdom
14608,United Kingdom
13883,United Kingdom
16725,United Kingdom
12540,Spain
15061,United Kingdom
14415,United Kingdom
12720,Germany
17920,United Kingdom
15356,United Kingdom
16086,United Kingdom
12451,Switzerland
17811,United Kingdom
14107,United Kingdom
15894,United Kingdom
12839,United Kingdom
14766,United Kingdom
17744,United Kingdom
12682,France
15192,United Kingdom
13233,United Kingdom
17739,United Kingdom
16316,United Kingdom
17181,United Kingdom
17460,United Kingdom
16579,United Kingdom
16839,United Kingdom
17551,United Kingdom
16218,United Kingdom
14329,United Kingdom
13126,United Kingdom
14099,United Kingdom
13093,United Kingdom
16083,United Kingdom
12441,France
14543,United Kingdom
16359,United Kingdom
12665,Germany
14213,United Kingdom
14206,United Kingdom
14679,United Kingdom
16950,United Kingdom
14987,United Kingdom
16891,United Kingdom
15867,United Kingdom
14506,United Kingdom
17402,United Kingdom
16034,United Kingdom
14572,United Kingdom
14146,United Kingdom
14176,United Kingdom
14060,United Kingdom
15769,United Kingdom
14487,United Kingdom
13634,United Kingdom
17085,United Kingdom
18178,United Kingdom
15881,United Kingdom
17198,United Kingdom
13102,United Kingdom
15426,United Kingdom
13033,United Kingdom
15326,United Kingdom
14159,United Kingdom
14889,United Kingdom
16315,United Kingdom
16293,United Kingdom
12939,United Kingdom
17044,United Kingdom
12683,France
17189,United Kingdom
17602,United Kingdom
13408,United Kingdom
16271,United Kingdom
18225,United Kingdom
15159,United Kingdom
14867,United Kingdom
16955,United Kingdom
16202,United Kingdom
13082,United Kingdom
12346,United Kingdom
13807,United Kingdom
14976,United Kingdom
14496,United Kingdom
16424,United Kingdom
17752,United Kingdom
14293,United Kingdom
14667,United Kingdom
17799,United Kingdom
16665,United Kingdom
17365,United Kingdom
14544,United Kingdom
17581,United Kingdom
16138,United Kingdom
16833,United Kingdom
14270,United Kingdom
13963,United Kingdom
14201,United Kingdom
18219,United Kingdom
16013,United Kingdom
16255,United Kingdom
13993,United Kingdom
13253,United Kingdom
17194,United Kingdom
15823,United Kingdom
17146,United Kingdom
13523,United Kingdom
13922,United Kingdom
14428,United Kingdom
17646,United Kingdom
17990,United Kingdom
14448,United Kingdom
16411,United Kingdom
14898,United Kingdom
16393,United Kingdom
12734,France
15304,United Kingdom
15858,United Kingdom
14016,EIRE
16401,United Kingdom
14001,United Kingdom
14871,United Kingdom
15606,United Kingdom
15602,United Kingdom
13534,United Kingdom
17381,United Kingdom
13284,United Kingdom
12666,Israel
15570,United Kingdom
14321,United Kingdom
15332,Lithuania
17706,United Kingdom
14796,United Kingdom
12826,United Kingdom
18119,United Kingdom
12763,Japan
16011,United Kingdom
17091,United Kingdom
13266,United Kingdom
16134,United Kingdom
16926,United Kingdom
13502,United Kingdom
17339,United Kingdom
12791,Netherlands
17757,United Kingdom
15503,United Kingdom
16326,United Kingdom
12782,Portugal
13890,United Kingdom
12402,Belgium
14092,United Kingdom
12877,United Kingdom
17675,United Kingdom
16861,United Kingdom
12921,United Kingdom
13705,United Kingdom
12530,Germany
16140,United Kingdom
12951,United Kingdom
14784,United Kingdom
12820,United Kingdom
14083,United Kingdom
15574,United Kingdom
17722,United Kingdom
12501,Germany
12386,Australia
17555,United Kingdom
13113,United Kingdom
13148,United Kingdom
18144,United Kingdom
18259,United Kingdom
17950,United Kingdom
15996,United Kingdom
17730,United Kingdom
14639,United Kingdom
14175,United Kingdom
15512,United Kingdom
13531,United Kingdom
12726,France
16153,United Kingdom
18095,United Kingdom
17068,United Kingdom
17341,United Kingdom
15358,United Kingdom
15641,United Kingdom
16499,United Kingdom
18041,United Kingdom
12515,Italy
17019,United Kingdom
14167,United Kingdom
17812,United Kingdom
18097,United Kingdom
15965,United Kingdom
17677,United Kingdom
12712,Germany
16658,United Kingdom
17095,United Kingdom
16122,United Kingdom
14913,United Kingdom
17980,United Kingdom
12913,United Kingdom
12474,Germany
13579,United Kingdom
17634,United Kingdom
14078,United Kingdom
12578,Italy
12637,France
17346,United Kingdom
14907,United Kingdom
15350,United Kingdom
13397,United Kingdom
18190,United Kingdom
13270,United Kingdom
13021,United Kingdom
16532,United Kingdom
18193,United Kingdom
14800,United Kingdom
14723,United Kingdom
15615,United Kingdom
18055,United Kingdom
18156,United Kingdom
14589,United Kingdom
14653,United Kingdom
17849,United Kingdom
16985,United Kingdom
16726,United Kingdom
16567,United Kingdom
14618,United Kingdom
14419,United Kingdom
16565,United Kingdom
12709,Germany
15395,United Kingdom
14045,United Kingdom
15749,United Kingdom
15899,United Kingdom
12865,Austria
17961,United Kingdom
16143,United Kingdom
17238,United Kingdom
15532,United Kingdom
12480,Germany
14401,United Kingdom
13859,United Kingdom
18106,United Kingdom
13263,United Kingdom
14205,United Kingdom
15024,United Kingdom
17969,United Kingdom
16717,United Kingdom
15838,United Kingdom
17428,United Kingdom
12808,Portugal
13777,United Kingdom
14037,United Kingdom
12417,Belgium
17418,United Kingdom
17412,United Kingdom
12621,Germany
14498,United Kingdom
17430,United Kingdom
17685,United Kingdom
13115,United Kingdom
17838,United Kingdom
16701,United Kingdom
17671,United Kingdom
14307,United Kingdom
15224,United Kingdom
14404,United Kingdom
17790,United Kingdom
14256,United Kingdom
17404,Sweden
17975,United Kingdom
16945,United Kingdom
17576,United Kingdom
15213,United Kingdom
16531,United Kingdom
16210,United Kingdom
13280,United Kingdom
15460,United Kingdom
14849,United Kingdom
15808,United Kingdom
17287,United Kingdom
14741,United Kingdom
14735,United Kingdom
16705,United Kingdom
14295,United Kingdom
16042,United Kingdom
14524,United Kingdom
13092,United Kingdom
13627,United Kingdom
16037,United Kingdom
13004,United Kingdom
12395,Belgium
16560,United Kingdom
15312,United Kingdom
17629,United Kingdom
13652,United Kingdom
17371,United Kingdom
16892,United Kingdom
15845,United Kingdom
14625,United Kingdom
17364,United Kingdom
17400,United Kingdom
12553,France
12577,France
16735,United Kingdom
14713,United Kingdom
13520,Switzerland
15780,United Kingdom
16654,United Kingdom
15841,United Kingdom
14238,United Kingdom
12980,United Kingdom
14866,United Kingdom
16948,United Kingdom
17262,United Kingdom
13747,United Kingdom
14733,United Kingdom
17569,United Kingdom
17908,United Kingdom
13136,United Kingdom
15513,United Kingdom
