stockcode,description,unitprice
22343,PARTY PIZZA DISH RED RETROSPOT,0.85
22848,BREAD BIN DINER STYLE PINK,16.95
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,6.75
22869,NUMBER TILE COTTAGE GARDEN 1,1.95
48184,DOORMAT ENGLISH ROSE ,7.95
22671,FRENCH LAUNDRY SIGN BLUE METAL,1.65
22479,DAISY GARDEN MARKER,1.25
21035,SET/2 RED RETROSPOT TEA TOWELS ,2.95
22301,COFFEE MUG CAT + BIRD DESIGN,2.55
21680,WOODLAND  STICKERS,0.85
21679,SKULLS  STICKERS,0.85
40016,CHINESE DRAGON PAPER LANTERNS,0.42
22452,MEASURING TAPE BABUSHKA PINK,2.95
85206A,CREAM FELT EASTER EGG BASKET,1.65
21719,LOVELY BONBON STICKER SHEET,0.85
22782,SET 3 WICKER STORAGE BASKETS ,24.95
22283,6 EGG HOUSE PAINTED WOOD,7.95
22393,PAPERWEIGHT VINTAGE COLLAGE,2.55
35400,WOODEN BOX ADVENT CALENDAR ,8.95
22707,WRAP MONSTER FUN ,0.42
21622,VINTAGE UNION JACK CUSHION COVER,4.95
22877,NUMBER TILE COTTAGE GARDEN 9,1.95
21470,FLOWER VINE RAFFIA FOOD COVER,3.75
84711A,SILVER OVAL SHAPE TRINKET BOX,9.95
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,1.25
85169D,PINK LOVE BIRD CANDLE,1.25
22927,GREEN GIANT GARDEN THERMOMETER,5.95
21028,NINJA RABBIT BLACK,1.25
BANK CHARGES,Bank Charges,15
75049L,LARGE CIRCULAR MIRROR MOBILE,1.25
21666,RIDGED GLASS T-LIGHT HOLDER,0.65
37479P,CUBIC MUG FLOCK PINK ON BROWN,2.55
16046,TEATIME PEN CASE & PENS,0.85
21390,FILIGRIS HEART WITH BUTTERFLY,1.25
22936,BAKING MOULD ROSE WHITE CHOCOLATE,3.25
16219,HOUSE SHAPE PENCIL SHARPENER,0.21
84927A,WAKE UP COCKEREL TILE HOOK,2.1
22942,CHRISTMAS LIGHTS 10 SANTAS ,8.5
21934,SKULL SHOULDER BAG,1.65
